,customerNo,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,order
2936,12640,46504,16,7,2378327.0,6,4.99,29.99,64.97,1,29.99,29.99,29.99,1,1,?,2000,571,223,18,55,2,7,n
2937,12641,26073,15,6,410217.0,4,9.99,14.99,49.96,4,9.99,14.99,49.96,?,1,2,4000,535,287,5,63,2,20,y
2938,12642,26076,15,6,656712.0,15,9.99,59.99,374.85,3,12.99,59.99,97.97,1,1,?,1000,517,29,6,67,2,10,n
2939,12643,26077,15,6,93803.0,3,39.99,39.99,119.97,1,39.99,39.99,39.99,?,1,2,4000,70,220,1,56,2,15,y
2940,12644,26078,15,6,100066.0,2,3.99,3.99,7.98,1,3.99,3.99,3.99,?,1,2,600,562,48,2,60,2,210,n
2941,12645,27896,16,6,430022.0,5,3.99,17.99,61.95,2,3.99,17.99,21.98,?,1,2,2100,523,140,10,48,2,156,y
2942,12646,26081,15,6,765364.0,12,3.99,59.95,202.88,1,3.99,3.99,3.99,?,1,2,800,533,106,12,27,2,24,y
2943,12647,26086,15,6,438448.0,4,3.99,4.99,17.96,2,3.99,4.99,8.98,5,1,2,500,447,5,4,29,1,119,y
2944,12648,26087,15,6,387152.0,13,3.99,59.95,257.83,13,3.99,59.95,257.83,?,1,2,4000,613,67,11,58,2,20,y
2945,12649,26089,15,6,581038.0,18,17.99,34.99,427.82,3,17.99,24.99,67.97,1,1,?,3300,455,361,22,64,1,7,n
2946,1265,2505,10,5,349912.0,7,22.99,29.99,181.93,2,22.99,29.99,52.98,5,1,2,3400,490,134,9,47,2,16,y
2947,12650,26090,15,6,713379.0,7,18.99,49.99,263.93,1,49.99,49.99,49.99,?,1,2,1000,507,22,6,48,1,92,y
2948,12651,26093,15,6,40403.0,3,99.99,849.99,1799.97,1,849.99,849.99,849.99,1,1,2,3000,523,193,13,46,1,16,n
2949,12652,26094,15,6,571185.0,16,4.99,44.99,226.84,2,9.99,9.99,19.98,?,?,?,600,506,133,3,40,2,14,n
2950,12653,26096,15,6,14158776.0,71,3.99,189.99,1613.44,12,3.99,44.99,317.88,?,1,2,2000,511,82,12,32,2,44,y
2951,12654,26097,15,6,2365.01,53,8.99,64.95,732.61,6,11.99,64.95,168.9,?,1,2,600,508,344,6,50,2,39,y
2952,12655,26098,15,6,1395054.0,24,9.99,229.99,2869.76,3,9.99,69.99,139.97,5,1,2,3000,501,195,22,34,2,18,y
2953,12656,26100,15,6,1419814.0,13,3.99,12.99,138.87,3,3.99,12.99,26.97,?,1,2,900,70,48,0,42,2,466,y
2954,12657,26105,15,6,655118.0,4,129.99,129.99,259.98,1,129.99,129.99,129.99,5,1,2,300,424,1,0,37,2,49,y
2955,12658,26106,15,6,348156.0,7,3.99,24.99,108.93,3,3.99,24.99,41.97,1,1,2,1500,577,146,5,56,2,89,n
2956,12659,26107,15,6,640772.0,2,499.99,499.99,999.98,1,499.99,499.99,499.99,1,1,?,1000,515,9,8,23,2,297,n
2957,1266,9346,16,5,176.87,5,179.99,199.99,779.96,1,199.99,199.99,199.99,1,1,2,2500,564,384,10,69,2,59,n
2958,12660,26108,15,6,55015.0,2,99.99,99.99,199.98,1,99.99,99.99,99.99,1,1,2,4000,486,203,9,44,2,31,n
2959,12661,26109,15,6,2735075.0,35,9.99,29.99,527.65,6,9.99,29.99,79.94,?,1,2,5000,568,256,2,44,2,68,y
2960,12662,26111,15,6,593452.0,12,8.99,49.99,162.92,11,8.99,49.99,162.92,5,1,2,1600,503,36,8,74,2,34,y
2961,12663,26112,15,6,14490054.0,172,3.99,109.99,4353.79,3,9.99,39.99,59.97,1,1,2,800,543,46,2,38,1,241,n
2962,12664,26113,15,6,4011661.0,18,629.0,1199.0,15252.91,1,999.99,999.99,999.99,5,1,2,4000,552,146,27,64,1,8,y
2963,12665,26116,15,6,119.82,2,29.99,29.99,59.98,1,29.99,29.99,29.99,2,1,2,1000,467,413,11,74,2,6,n
2964,12666,26119,15,6,258525.0,5,10.0,24.99,104.96,1,24.99,24.99,24.99,?,?,?,2700,491,169,2,35,2,119,n
2965,12667,26121,15,6,40896.0,2,14.99,14.99,14.99,2,14.99,14.99,14.99,1,1,4,600,578,75,2,49,2,88,n
2966,12668,26123,15,6,536.42,18,0.0,49.99,350.87,5,0.0,49.99,109.97,?,1,2,600,603,112,1,44,1,101,y
2967,12669,26396,15,6,134088.0,3,17.99,17.99,53.97,1,17.99,17.99,17.99,?,1,2,600,581,224,2,68,2,206,y
2968,1267,2511,10,5,1727897.0,71,7.0,34.99,1061.38,4,12.99,14.99,57.96,5,1,2,20000,538,322,47,71,2,11,y
2969,12670,26125,15,6,89019.0,1,19.99,19.99,19.99,1,19.99,19.99,19.99,?,1,2,2400,495,156,12,67,1,120,y
2970,12671,26126,15,6,97583.0,8,19.99,19.99,159.92,1,19.99,19.99,19.99,?,?,?,500,499,5,5,24,2,12,n
2971,12672,28249,17,6,1169877.0,27,10.0,100.0,754.91,3,10.0,24.99,54.99,1,1,2,2900,530,187,13,37,2,19,n
2972,12673,26128,15,6,7244218.0,11,11.99,49.99,461.9,2,49.99,49.99,99.98,?,1,2,600,556,237,3,41,2,4,y
2973,12674,26130,15,6,593308.0,2,399.99,399.99,799.98,1,399.99,399.99,399.99,?,1,2,600,495,21,4,40,1,67,y
2974,12675,26133,15,6,653511.0,18,29.99,149.95,879.5,2,29.99,29.99,59.98,?,?,?,600,464,11,2,35,2,68,n
2975,12676,26134,15,6,610451.0,8,103.96,399.99,1663.73,1,169.95,169.95,169.95,5,1,2,1300,362,96,7,29,1,164,y
2976,12677,26136,15,6,219243.0,2,399.99,399.99,799.98,1,399.99,399.99,399.99,?,1,2,600,70,22,0,41,1,447,y
2977,12678,26139,15,6,87003.0,1,29.99,29.99,29.99,1,29.99,29.99,29.99,?,1,2,4400,534,222,10,60,2,8,y
2978,12679,26145,15,6,48627.0,1,34.99,34.99,34.99,1,34.99,34.99,34.99,1,1,?,1700,504,169,5,40,2,74,n
2979,1268,2513,10,5,236311.0,4,10.99,139.99,161.97,1,10.99,10.99,10.99,5,1,2,300,472,133,15,57,1,39,y
2980,12680,26146,15,6,1355891.0,31,11.99,44.99,906.69,2,29.99,44.99,74.98,?,1,2,600,581,58,3,50,2,68,y
2981,12681,26147,15,6,53134.0,3,24.99,24.99,74.97,1,24.99,24.99,24.99,?,?,?,600,546,259,18,42,2,76,n
2982,12682,26149,15,6,6531.15,70,17.0,59.99,1727.39,4,17.99,39.99,107.96,1,1,2,1300,551,172,10,45,2,42,n
2983,12683,26151,15,6,615448.0,8,69.99,319.99,1539.92,2,69.99,229.99,299.98,5,1,2,500,479,5,0,26,1,23,y
2984,12684,26154,15,6,410382.0,6,14.99,59.99,224.94,2,14.99,59.99,74.98,5,1,2,4000,570,352,5,75,1,54,y
2985,12685,26155,15,6,3594409.0,48,11.99,79.99,1183.31,4,12.99,24.99,63.96,?,1,2,600,70,94,4,49,2,295,y
2986,12686,26157,15,6,509.27,16,39.99,179.99,259.97,1,39.99,39.99,39.99,?,?,?,1200,484,28,17,25,2,9,n
2987,12687,26159,15,6,86368.0,2,12.99,12.99,25.98,2,12.99,12.99,25.98,5,1,2,1500,530,14,4,50,2,15,y
2988,12688,26160,15,6,660679.0,18,9.99,14.99,187.82,4,9.99,9.99,39.96,5,1,2,1400,545,171,30,27,1,4,y
2989,12689,26161,15,6,259367.0,4,24.99,29.99,109.96,2,24.99,29.99,54.98,5,1,2,600,574,292,13,42,2,10,y
2990,1269,2514,10,5,4072824.0,143,3.99,69.99,3647.17,4,10.92,64.99,97.75,?,1,2,600,70,53,0,33,2,703,y
2991,12690,26164,15,6,225822.0,3,19.99,19.99,59.97,1,19.99,19.99,19.99,?,1,2,1700,571,67,1,28,2,85,y
2992,12691,26166,15,6,3111664.0,34,9.99,39.99,323.86,5,12.99,39.99,118.95,?,1,2,800,70,52,1,57,1,260,y
2993,12692,26167,15,6,793393.0,19,99.99,149.99,1589.87,3,99.99,139.99,379.97,?,1,2,4000,70,38,1,54,2,399,y
2994,12693,26168,15,6,185059.0,12,19.99,549.99,2179.88,4,19.99,549.99,709.96,5,1,2,500,443,14,3,30,2,31,y
2995,12694,26170,15,6,3998856.0,116,9.99,69.99,3762.8,7,19.99,49.99,220.93,?,1,2,300,541,107,8,48,2,300,y
2996,12695,26172,15,6,302579.0,18,7.99,58.82,377.69,18,7.99,58.82,377.69,?,1,2,600,588,137,9,52,2,94,y
2997,12696,26176,15,6,777079.0,9,79.99,799.0,4073.99,3,79.99,799.0,1477.99,5,1,2,4000,546,67,3,49,2,79,y
2998,12697,26179,15,6,2670309.0,166,3.0,49.99,2311.16,9,9.99,39.99,159.92,?,1,2,3000,558,220,11,56,2,95,y
2999,12698,26180,15,6,1143093.0,31,7.99,49.99,999.69,3,19.99,39.99,94.97,?,1,2,600,568,70,3,26,2,138,y
3000,12699,26181,15,6,4289205.0,64,5.0,79.99,1090.54,7,17.99,35.99,166.93,5,1,2,3000,541,268,17,55,2,21,y
3001,127,301,7,5,3438421.0,30,7.99,39.99,614.62,3,14.99,34.99,69.97,1,1,2,2300,552,317,2,51,2,207,n
3002,1270,2516,10,5,10716973.0,46,12.99,199.99,1136.16,10,12.99,139.99,367.9,5,1,2,1500,493,58,26,51,2,11,y
3003,12700,26183,15,6,1657272.0,21,19.95,349.99,1379.73,3,19.99,99.99,219.97,?,1,2,4000,589,221,10,50,2,132,y
3004,12701,26184,15,6,688374.0,7,19.99,69.99,189.93,3,19.99,19.99,59.97,5,1,2,4000,521,301,23,61,1,7,y
3005,12702,26185,15,6,950055.0,45,3.0,9.99,204.93,0,?,?,?,?,1,2,100,449,51,15,37,1,9,n
3006,12703,26186,15,6,1796205.0,81,1.0,19.99,797.56,13,3.99,19.99,166.89,5,1,2,1300,441,112,14,35,2,137,y
3007,12704,26187,15,6,568567.0,15,12.0,39.9,361.79,1,19.9,19.9,19.9,?,?,?,300,473,152,2,44,2,6,n
3008,12705,26191,15,6,1921219.0,11,4.99,15.99,45.95,2,4.99,9.99,14.98,?,1,2,300,70,98,0,40,2,615,n
3009,12706,26194,15,6,18396242.0,161,9.99,59.99,935.69,9,9.99,59.99,251.91,?,1,2,1000,442,52,16,26,1,11,y
3010,12707,26195,15,6,626.65,17,12.0,49.99,574.85,5,12.0,42.99,139.96,?,1,2,600,557,23,2,23,2,65,y
3011,12708,26196,15,6,2314895.0,10,14.95,14.95,89.7,1,14.95,14.95,14.95,1,1,2,4600,521,339,38,56,1,3,n
3012,12709,26197,15,6,283548.0,11,24.99,29.99,254.91,3,24.99,29.99,84.97,?,1,2,4000,600,348,9,59,1,58,y
3013,1271,2521,10,5,820093.0,14,7.95,39.95,152.65,2,7.95,9.99,17.94,1,1,2,300,438,9,2,27,2,55,n
3014,12710,26199,15,6,157855.0,2,17.99,17.99,35.98,1,17.99,17.99,17.99,?,1,2,800,459,0,1,54,2,9,n
3015,12711,26200,15,6,555064.0,3,119.99,119.99,359.97,1,119.99,119.99,119.99,?,1,2,200,446,220,5,47,3,92,y
3016,12712,26203,15,6,6922557.0,53,11.99,329.99,1816.77,5,19.99,129.99,269.95,5,1,2,600,587,229,17,47,1,25,y
3017,12713,26204,15,6,173942.0,4,9.99,29.99,59.96,4,9.99,29.99,59.96,?,1,2,1500,490,334,4,46,2,42,y
3018,12714,26206,15,6,2935571.0,8,59.99,500.0,1689.97,1,500.0,500.0,500.0,?,1,2,1000,423,57,11,30,1,70,y
3019,12715,26207,15,6,370518.0,21,7.99,59.99,748.86,3,59.99,59.99,179.97,?,1,2,3000,500,126,11,61,2,9,y
3020,12716,26210,15,6,267978.0,5,7.0,29.99,73.98,2,7.0,29.99,36.99,5,1,2,3000,505,112,32,39,1,25,y
3021,12717,26211,15,6,6375132.0,121,3.0,21.0,916.84,5,3.0,12.99,26.99,?,1,2,200,467,118,5,40,2,69,y
3022,12718,26214,15,6,404024.0,14,19.99,39.99,349.86,5,19.99,39.99,129.95,?,?,?,2300,533,279,5,47,2,85,n
3023,12719,26215,15,6,312286.0,2,999.99,999.99,1999.98,1,999.99,999.99,999.99,?,1,2,4000,538,54,3,24,1,75,y
3024,1272,2522,10,5,6828262.0,13,699.0,1199.0,8491.0,1,799.0,799.0,799.0,5,1,2,6000,490,241,13,70,2,26,y
3025,12720,26216,15,6,535123.0,14,9.99,29.99,189.88,5,9.99,29.99,80.95,?,1,2,600,569,14,7,27,1,12,y
3026,12721,26217,15,6,895273.0,11,3.99,19.99,97.93,3,3.99,19.99,38.97,5,1,2,2500,600,390,31,74,2,18,y
3027,12722,26218,15,6,1413046.0,54,15.0,59.95,1443.41,3,19.99,34.99,89.97,?,1,2,4000,566,177,4,71,2,225,y
3028,12723,26220,15,6,219969.0,5,9.99,55.95,95.91,1,9.99,9.99,9.99,?,?,?,1900,479,114,11,37,1,8,n
3029,12724,26221,15,6,1854.9,17,19.99,149.99,949.88,1,79.99,79.99,79.99,5,1,2,300,412,0,0,58,1,31,y
3030,12725,26223,15,6,212618.0,12,24.99,39.99,418.11,1,39.99,39.99,39.99,1,1,?,4000,70,67,1,47,1,22,n
3031,12726,26224,15,6,1189294.0,26,3.99,49.99,898.76,3,34.99,49.99,134.97,?,1,2,600,559,37,1,45,2,111,y
3032,12727,26225,15,6,1868944.0,50,24.9,99.95,2453.36,7,24.99,69.99,254.84,?,1,2,1400,455,131,10,36,2,141,y
3033,12728,26226,15,6,71201.0,3,29.99,29.99,89.97,1,29.99,29.99,29.99,?,?,?,2700,531,110,30,33,1,41,n
3034,12729,26227,15,6,425963.0,5,19.99,19.99,99.95,2,19.99,19.99,39.98,5,1,2,4000,546,276,12,62,2,5,y
3035,1273,2523,10,5,265134.0,3,3.99,99.99,113.97,3,3.99,99.99,113.97,5,1,2,2000,581,221,8,53,1,50,y
3036,12730,26228,15,6,717769.0,13,24.99,79.99,639.71,4,24.99,74.99,189.92,5,1,2,3000,583,334,14,61,2,6,y
3037,12731,26231,15,6,3451934.0,81,3.0,29.99,624.81,5,3.0,29.99,87.97,?,1,2,6000,497,218,26,38,2,17,y
3038,12732,26232,15,6,3398947.0,17,3.99,24.99,282.83,1,19.99,19.99,19.99,?,1,2,500,457,24,3,35,2,23,y
3039,12733,26233,15,6,4279868.0,11,7.99,59.99,107.93,3,7.99,7.99,23.97,?,?,?,3000,503,223,11,34,2,9,n
3040,12734,26234,15,6,1063586.0,18,34.99,299.99,669.96,2,34.99,299.99,334.98,1,1,2,300,567,3,1,48,1,117,n
3041,12735,26235,15,6,782513.0,41,4.99,49.99,737.26,11,9.99,49.99,242.22,?,1,2,600,592,62,4,42,1,9,y
3042,12736,26236,15,6,2349721.0,53,14.0,60.0,1535.63,4,24.99,29.99,108.97,5,1,2,2500,478,151,5,43,1,12,y
3043,12737,26237,15,6,885946.0,29,7.0,19.99,308.76,3,14.99,19.99,54.97,?,1,2,600,70,86,2,55,2,6,y
3044,12738,26238,15,6,805038.0,13,7.99,119.99,589.88,1,44.99,44.99,44.99,?,?,?,4000,505,56,9,55,1,183,n
3045,12739,26239,15,6,754874.0,8,3.99,599.0,737.93,6,3.99,24.99,113.94,5,1,2,4100,513,220,69,49,2,7,y
3046,1274,37012,7,7,2841357.0,4,129.99,349.99,829.97,1,349.99,349.99,349.99,1,1,2,5000,478,107,15,49,1,43,n
3047,12740,26240,15,6,438514.0,2,499.99,499.99,999.98,1,499.99,499.99,499.99,5,1,2,300,546,3,2,37,1,5,y
3048,12741,26245,15,6,8664.0,1,269.99,269.99,269.99,1,269.99,269.99,269.99,1,1,2,4600,510,222,25,55,2,33,n
3049,12742,49068,18,7,2135484.0,28,3.99,29.99,402.8,4,3.99,24.99,61.96,?,1,2,300,546,9,3,27,2,65,y
3050,12743,26251,15,6,909554.0,7,9.99,149.99,459.93,2,9.99,69.99,79.98,?,1,2,4500,520,57,25,37,1,6,y
3051,12744,26252,15,6,39561.0,3,22.99,22.99,68.97,1,22.99,22.99,22.99,?,1,2,?,?,?,0,24,2,7,y
3052,12745,26253,15,6,143018.0,5,5.99,20.0,51.98,1,5.99,5.99,5.99,?,?,?,600,481,22,3,28,2,38,n
3053,12746,26255,15,6,4976649.0,11,9.99,14.99,59.95,1,9.99,9.99,9.99,5,1,2,10000,491,110,11,34,2,3,y
3054,12747,26256,15,6,2118.56,51,4.99,14.99,248.73,3,7.99,14.99,32.97,?,1,2,300,568,3,1,26,2,102,y
3055,12748,26260,15,6,569671.0,20,34.99,69.99,634.89,1,69.99,69.99,69.99,?,?,?,300,567,176,3,42,2,126,n
3056,12749,26261,15,6,103902.0,3,3.99,19.99,36.97,3,3.99,19.99,36.97,?,1,2,4000,587,189,6,46,2,145,y
3057,1275,2529,10,5,1775.76,28,9.99,89.99,1235.74,8,9.99,89.99,396.92,?,1,2,900,509,136,15,32,2,45,y
3058,12750,26267,15,6,1834.66,7,199.99,449.99,1549.96,1,449.99,449.99,449.99,1,0,2,4000,554,358,4,58,2,188,n
3059,12751,26268,15,6,2767144.0,36,39.99,499.99,6088.64,8,49.99,499.99,1532.92,5,1,2,3000,511,134,15,73,2,80,y
3060,12752,26269,15,6,266112.0,4,3.99,29.99,83.96,4,3.99,29.99,83.96,?,1,2,1500,562,58,6,41,2,300,y
3061,12753,34168,21,6,5768516.0,47,9.99,159.99,1045.7,4,9.99,59.99,147.96,?,1,2,300,477,1,1,28,2,6,y
3062,12754,26275,15,6,768703.0,17,39.99,89.99,1199.83,2,49.99,79.99,129.98,?,1,2,4000,505,246,10,48,2,42,y
3063,12755,26276,15,6,3138841.0,59,3.99,59.99,1099.53,15,3.99,39.99,302.85,5,1,2,600,433,224,16,44,2,7,y
3064,12756,26277,15,6,55332.0,3,11.99,84.99,109.97,3,11.99,84.99,109.97,1,1,?,3300,511,84,20,52,1,13,n
3065,12757,26280,15,6,121414.0,5,3.99,4.99,22.95,2,3.99,4.99,8.98,?,1,2,600,462,339,4,53,1,49,y
3066,12758,26282,15,6,1544666.0,41,9.99,49.99,1135.6,17,9.99,44.99,463.83,?,1,2,2600,522,100,18,33,2,14,y
3067,12759,26283,15,6,544.43,10,29.99,49.99,339.92,1,29.99,29.99,29.99,?,?,?,1800,567,220,11,78,2,10,n
3068,1276,2532,10,5,4804476.0,142,4.0,299.99,3572.12,7,5.0,24.99,100.96,?,?,?,600,479,341,21,63,2,119,n
3069,12760,26285,15,6,1117388.0,2,?,?,?,0,?,?,?,1,1,2,1400,513,220,14,58,2,67,n
3070,12761,26286,15,6,124457.0,2,3.99,15.99,19.98,2,3.99,15.99,19.98,?,1,2,4500,553,153,8,41,2,70,y
3071,12762,26287,15,6,279244.0,10,12.99,219.0,515.94,3,12.99,219.0,244.98,?,1,2,600,545,193,3,37,2,198,y
3072,12763,26288,15,6,623285.0,11,19.99,19.99,99.95,2,19.99,19.99,39.98,5,1,2,300,455,1,0,36,2,47,y
3073,12764,26291,15,6,2963.91,46,8.95,39.16,794.63,8,9.99,19.99,132.84,?,1,2,600,491,92,12,45,2,33,y
3074,12765,26293,15,6,322817.0,6,9.99,19.99,109.94,4,9.99,19.99,69.96,?,1,2,2500,514,68,8,63,1,43,y
3075,12766,26294,15,6,467764.0,3,34.99,34.99,69.98,1,34.99,34.99,34.99,?,1,2,600,70,15,0,43,2,471,y
3076,12767,26295,15,6,1503562.0,38,5.0,25.2,671.58,2,9.99,19.99,29.98,?,?,?,1000,505,60,13,45,2,21,n
3077,12768,26296,15,6,441345.0,6,9.99,9.99,19.98,1,9.99,9.99,9.99,?,1,2,1500,552,277,26,42,1,27,y
3078,12769,26300,15,6,1050635.0,27,3.99,17.99,311.73,10,3.99,17.99,110.9,?,1,2,600,473,55,30,47,1,55,y
3079,1277,2534,10,5,7733636.0,198,3.0,49.99,2302.74,16,4.99,49.99,215.89,?,?,?,1500,501,81,11,50,2,18,y
3080,12770,26304,15,6,29337.0,3,17.0,17.0,51.0,1,17.0,17.0,17.0,?,?,?,600,583,36,2,54,2,69,n
3081,12771,26305,15,6,1775368.0,27,7.99,399.99,1178.89,2,24.99,29.99,54.98,1,1,?,1800,512,298,31,53,1,10,n
3082,12772,26308,15,6,1139908.0,13,4.99,29.99,165.9,1,29.99,29.99,29.99,?,1,2,?,?,?,0,21,2,14,y
3083,12773,26309,15,6,7926561.0,27,9.99,299.99,889.89,5,9.99,299.99,354.95,?,1,2,1000,532,30,5,49,2,12,y
3084,12774,26311,15,6,3648259.0,107,3.95,99.99,2378.9,26,3.95,99.99,699.97,1,1,2,600,519,14,20,33,2,79,n
3085,12775,26312,15,6,10851878.0,19,3.99,49.99,259.85,3,3.99,19.99,27.97,?,1,2,2200,559,336,3,71,2,278,y
3086,12776,26313,15,6,13481021.0,19,9.69,34.99,165.59,2,9.99,12.99,22.98,5,1,2,2200,513,205,16,34,2,11,y
3087,12777,26314,15,6,141523.0,2,39.99,49.99,89.98,2,39.99,49.99,89.98,?,1,2,600,70,250,1,48,2,7,y
3088,12778,26315,15,6,144627.0,3,24.99,24.99,74.97,1,24.99,24.99,24.99,?,1,2,700,475,183,14,41,1,10,y
3089,12779,26316,15,6,202725.0,1,3.99,3.99,3.99,1,3.99,3.99,3.99,3,1,2,500,419,223,6,52,2,43,n
3090,1278,2535,10,5,373318.0,7,3.0,5.99,27.96,2,4.99,5.99,10.98,?,1,2,600,505,21,12,65,1,10,y
3091,12780,26317,15,6,1469175.0,79,7.99,29.99,1604.19,10,7.99,29.99,209.9,?,1,2,200,450,216,2,47,2,39,y
3092,12781,26319,15,6,666764.0,6,17.99,24.99,116.94,6,17.99,24.99,116.94,?,1,2,4000,70,322,2,62,2,286,y
3093,12782,26320,15,6,443434.0,13,74.99,74.99,74.99,1,74.99,74.99,74.99,?,?,?,1500,496,114,14,51,2,14,n
3094,12783,26322,15,6,7253016.0,199,3.0,99.95,2079.53,12,3.0,49.99,132.98,?,?,?,600,517,15,1,37,2,50,y
3095,12784,26325,15,6,437802.0,6,49.99,74.95,394.9,1,69.99,69.99,69.99,?,?,?,600,456,11,2,37,1,67,n
3096,12785,26327,15,6,236786.0,4,269.99,329.99,1199.96,1,299.99,299.99,299.99,?,1,2,600,70,24,1,32,1,21,y
3097,12786,26328,15,6,71164.0,2,59.99,59.99,119.98,1,59.99,59.99,59.99,?,?,?,2000,587,187,3,42,2,207,n
3098,12787,26329,15,6,215849.0,3,9.99,9.99,29.97,1,9.99,9.99,9.99,?,?,?,300,434,112,10,56,2,20,n
3099,12788,26330,15,6,2041972.0,5,59.99,99.99,439.95,1,99.99,99.99,99.99,?,1,2,600,70,99,1,39,2,374,y
3100,12789,26332,15,6,303626.0,7,9.99,49.99,170.94,4,9.99,49.99,95.96,?,1,2,2000,568,353,5,51,2,109,y
3101,1279,2536,10,5,1625843.0,30,12.99,149.99,1249.88,1,24.99,24.99,24.99,?,?,?,600,519,134,29,56,1,66,n
3102,12790,26333,15,6,592435.0,2,10.99,79.99,90.98,2,10.99,79.99,90.98,?,1,2,2600,530,224,13,51,2,34,y
3103,12791,26334,15,6,352586.0,11,9.99,19.99,148.89,4,9.99,19.99,52.96,?,1,2,2500,479,94,18,29,2,33,y
3104,12792,26336,15,6,452229.0,2,34.99,34.99,69.98,1,34.99,34.99,34.99,?,1,2,600,484,44,1,75,1,26,y
3105,12793,26338,15,6,836034.0,6,299.95,379.0,2194.95,2,379.0,379.0,758.0,?,1,2,900,545,59,2,63,1,25,y
3106,12794,26342,15,6,577.37,6,14.99,24.99,119.94,2,14.99,24.99,39.98,?,1,2,1800,587,475,10,63,1,309,y
3107,12795,26343,15,6,91936.0,11,9.99,29.99,269.89,3,9.99,29.99,69.97,?,?,?,800,491,39,9,46,2,66,n
3108,12796,33385,20,6,1757.89,37,6.99,64.99,1288.49,7,6.99,39.95,191.85,5,1,2,10500,515,219,20,67,2,9,y
3109,12797,26349,15,6,54288.0,4,24.99,24.99,99.96,1,24.99,24.99,24.99,?,?,?,4000,493,118,3,49,1,10,n
3110,12798,27106,16,6,2939861.0,54,7.99,59.99,781.62,7,17.99,59.99,183.93,?,1,2,300,459,76,13,64,1,4,y
3111,12799,26352,15,6,208815.0,4,9.99,29.99,79.96,4,9.99,29.99,79.96,?,1,2,600,578,36,1,52,2,183,y
3112,128,306,7,5,1734117.0,19,9.99,189.95,869.77,4,9.99,149.99,189.96,5,1,2,2500,463,418,9,43,1,11,y
3113,1280,2537,10,5,239011.0,7,19.99,49.95,159.79,1,29.95,29.95,29.95,?,1,2,1400,514,150,7,39,2,27,y
3114,12800,26353,15,6,1321.82,7,89.99,119.99,630.45,1,119.99,119.99,119.99,?,1,2,1200,494,26,11,48,1,374,y
3115,12801,26357,15,6,0.0,1,19.99,19.99,19.99,1,19.99,19.99,19.99,?,?,?,600,479,19,13,42,2,9,n
3116,12802,26358,15,6,1924.92,52,9.99,149.95,2435.92,5,14.99,29.99,119.91,?,1,2,0,315,33,1,34,2,16,y
3117,12803,26360,15,6,1235859.0,10,24.9,24.9,74.7,3,24.9,24.9,24.9,?,1,2,800,586,28,0,52,2,7,y
3118,12804,26361,15,6,2746828.0,30,15.99,34.99,726.5,4,15.99,34.99,88.92,?,1,2,2100,551,221,4,50,2,239,y
3119,12805,26364,15,6,676072.0,12,9.99,15.99,167.88,3,9.99,15.99,38.97,?,1,2,3000,507,63,13,31,2,43,y
3120,12806,26365,15,6,374904.0,5,3.99,49.99,157.95,1,3.99,3.99,3.99,?,1,2,600,577,19,2,54,2,111,y
3121,12807,26366,15,6,3009959.0,5,14.99,24.99,114.95,1,24.99,24.99,24.99,?,1,2,?,?,?,0,46,1,13,y
3122,12808,26367,15,6,304117.0,4,29.99,29.99,29.99,1,29.99,29.99,29.99,?,1,2,1800,523,220,5,51,1,41,y
3123,12809,26370,15,6,338743.0,20,9.99,59.95,415.6,7,9.99,59.95,285.73,5,1,2,1700,465,64,22,38,2,38,y
3124,1281,2539,10,5,148849.0,3,49.99,49.99,99.98,1,49.99,49.99,49.99,1,1,2,2700,519,81,28,45,2,12,n
3125,12810,26371,15,6,205111.0,7,13.99,13.99,41.97,1,13.99,13.99,13.99,?,?,?,300,452,0,1,72,1,4,n
3126,12811,44727,14,7,2578969.0,34,14.99,99.99,1837.19,1,19.99,19.99,19.99,3,1,2,1800,508,219,21,68,1,18,n
3127,12812,36946,7,7,8129.97,144,1.0,229.99,1136.83,38,1.0,229.99,356.97,?,?,?,16000,529,56,868,28,2,4,y
3128,12813,26377,15,6,1805069.0,9,3.99,99.99,281.91,4,3.99,17.99,41.96,1,1,?,4000,577,475,13,68,1,4,n
3129,12814,26378,15,6,1680734.0,11,469.99,549.99,4009.92,1,499.99,499.99,499.99,?,1,2,4000,509,178,15,68,1,80,n
3130,12815,26379,15,6,757747.0,15,9.99,20.99,99.93,2,12.99,12.99,25.98,?,?,?,800,578,12,3,51,1,18,n
3131,12816,26381,15,6,362879.0,7,3.99,59.95,181.81,7,3.99,59.95,181.81,?,1,2,600,70,58,0,49,2,538,y
3132,12817,26385,15,6,1431202.0,15,9.99,99.99,327.41,4,9.99,17.95,63.84,?,1,2,600,569,11,10,41,1,15,y
3133,12818,26386,15,6,1432543.0,28,9.99,59.95,704.28,10,9.99,59.95,231.74,5,1,2,3700,521,263,11,51,2,81,y
3134,12819,26387,15,6,3431533.0,52,3.0,79.95,942.57,2,10.99,19.99,30.98,?,1,2,200,568,27,2,47,2,184,y
3135,1282,2540,10,5,2464203.0,46,8.9,49.95,1277.37,10,14.9,39.95,255.24,?,1,2,3000,521,268,12,53,2,14,y
3136,12820,26388,15,6,375609.0,15,12.99,12.99,194.85,4,12.99,12.99,51.96,?,1,2,600,551,23,7,37,1,4,y
