,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,bStep_count,countLog,modes,diffCounts,durCount,order
3312,3313,10,5,71715.0,5,6.0,14.99,56.97,1,14.99,14.99,14.99,1,1,2,1800,482,71,23,29,2,66,0,2,1,4,14343.0,0
3324,3325,10,5,58246.0,2,36.85,36.85,73.7,1,36.85,36.85,36.85,1,1,-1,1000,449,24,17,22,2,16,0,3,1,1,29123.0,0
3326,3327,10,5,176756.0,4,89.99,129.99,449.96,1,129.99,129.99,129.99,5,1,2,13000,470,378,71,55,2,10,3,6,2,3,44189.0,1
3327,3328,10,5,645282.0,3,219.0,219.0,438.0,1,219.0,219.0,219.0,1,1,-1,12500,500,219,17,44,2,14,3,7,1,2,215094.0,0
3331,3332,10,5,341376.0,10,27.99,27.99,139.95,2,27.99,27.99,55.98,2,1,-1,800,511,220,8,63,2,10,0,8,2,8,34137.6,0
3335,3336,10,5,80247.0,2,139.99,139.99,279.98,1,139.99,139.99,139.99,5,1,2,300,434,9,10,31,2,11,3,5,2,1,40123.5,1
3336,3337,10,5,4348912.0,68,3.99,34.99,737.25,5,4.99,8.99,34.95,1,1,2,1500,603,219,5,52,1,18,1,19,1,63,63954.58823529412,0
3351,3352,10,5,2834292.0,13,12.8,12.8,25.6,1,12.8,12.8,12.8,1,1,-1,20000,556,454,62,71,2,10,1,5,1,12,218022.46153846153,0
3356,3357,10,5,1346047.0,13,19.99,149.99,549.92,5,19.99,149.99,189.97,1,1,2,4000,70,157,1,45,2,297,0,14,1,8,103542.07692307692,0
3359,3360,10,5,215364.0,9,24.99,54.99,309.93,1,49.99,49.99,49.99,5,1,2,600,466,89,23,28,2,26,3,5,1,8,23929.333333333332,1
3360,3361,10,5,4235.36,20,9.99,59.99,501.83,4,9.99,34.99,91.96,5,1,2,5000,495,116,151,41,2,11,4,13,1,16,211.76799999999997,1
3362,3363,10,5,218.35,2,699.99,699.99,1399.98,1,699.99,699.99,699.99,5,1,2,9000,586,220,6,41,2,151,3,5,1,1,109.175,1
3377,3378,10,5,443277.0,7,0.0,33.99,150.95,2,0.0,33.99,33.99,4,1,2,1900,553,89,4,27,2,10,9,13,4,5,63325.28571428572,0
3387,3388,10,5,396365.0,4,29.99,49.99,149.96,3,29.99,49.99,119.97,5,1,2,20000,534,301,60,50,1,10,9,15,3,1,99091.25,1
3389,3390,10,5,1632254.0,10,39.99,69.99,534.82,1,49.99,49.99,49.99,5,1,2,1700,460,232,22,51,2,45,3,4,3,9,163225.4,1
3403,3404,10,5,2738215.0,62,5.0,29.99,962.24,9,9.99,19.99,143.87,5,1,2,1800,552,223,11,45,2,11,12,32,1,53,44164.75806451613,1
3409,3410,10,5,5832308.0,6,49.99,49.99,199.96,1,49.99,49.99,49.99,2,1,2,200,466,200,14,59,1,189,0,7,2,5,972051.3333333334,1
3415,3416,10,5,50112.0,1,12.99,12.99,12.99,1,12.99,12.99,12.99,5,1,2,5000,488,138,2,41,1,12,3,5,1,0,50112.0,1
3424,3425,10,5,1119777.0,5,3.99,19.99,51.95,3,3.99,19.99,27.97,3,1,2,4000,613,190,51,69,2,11,16,27,3,2,223955.4,0
3428,3429,10,5,308263.0,8,19.99,469.99,1679.92,4,19.99,469.99,839.96,1,1,2,3000,552,84,26,72,1,52,1,9,1,4,38532.875,0
3441,3442,10,5,73254.0,4,499.99,499.99,1499.97,1,499.99,499.99,499.99,1,1,-1,2900,524,262,20,42,2,17,0,3,1,3,18313.5,0
3477,3478,10,5,242313.0,3,15.0,69.95,154.9,1,69.95,69.95,69.95,5,1,2,2400,509,68,11,30,2,35,3,5,1,2,80771.0,1
3480,3481,10,5,1279257.0,9,399.99,899.99,6698.93,2,899.99,899.99,1799.98,5,1,2,2500,518,299,16,62,1,45,4,9,1,7,142139.66666666666,1
3484,3485,10,5,2773592.0,30,6.99,1199.0,11305.71,2,199.99,199.99,399.98,1,1,2,2200,495,43,7,65,1,187,0,5,1,28,92453.06666666667,0
3487,3488,10,5,1478468.0,62,7.99,79.99,1759.06,2,19.99,49.99,69.98,5,1,2,2300,537,223,19,53,2,55,4,6,4,60,23846.25806451613,1
3489,3490,10,5,218358.0,3,154.99,154.99,309.98,1,154.99,154.99,154.99,5,1,2,1500,614,117,4,42,2,61,3,5,2,2,72786.0,1
3490,3491,10,5,1935503.0,49,0.0,5.0,53.97,2,3.99,5.0,8.99,1,1,-1,200,474,194,0,47,2,29,16,33,1,47,39500.06122448979,0
3496,3497,10,5,451545.0,4,399.99,499.99,1749.96,1,399.99,399.99,399.99,3,1,2,4000,508,75,4,26,2,28,1,6,2,3,112886.25,0
3504,3505,10,5,4315146.0,112,2.99,44.99,1174.88,9,5.99,14.99,82.91,5,1,2,600,573,187,6,38,2,185,4,30,1,103,38528.08928571428,1
3519,3520,10,5,1136473.0,52,5.0,34.99,564.43,2,7.0,10.0,17.0,4,1,2,300,436,119,9,40,2,18,3,7,4,50,21855.25,0
3534,3535,10,5,205915.0,7,24.99,24.99,149.94,1,24.99,24.99,24.99,5,1,2,200,439,155,10,40,2,93,3,4,3,6,29416.428571428572,1
3541,3542,10,5,625141.0,2,19.99,39.99,59.98,1,39.99,39.99,39.99,1,1,2,4000,495,223,16,44,2,120,0,2,1,1,312570.5,0
3544,3545,10,5,6254437.0,6,39.99,39.99,159.96,1,39.99,39.99,39.99,4,1,2,4000,571,40,3,32,2,22,10,12,4,5,1042406.1666666666,0
3545,3546,10,5,1709362.0,8,34.99,199.99,649.92,1,34.99,34.99,34.99,5,1,2,3000,567,84,4,28,1,108,4,6,3,7,213670.25,1
3554,3555,10,5,2124.64,14,12.99,59.95,361.76,13,12.99,59.95,348.77,5,1,2,2200,597,214,16,60,2,18,7,34,1,1,151.76,1
3559,3560,10,5,3686161.0,17,9.99,29.99,274.84,3,9.99,14.99,34.97,5,1,2,1500,568,59,31,45,2,12,8,13,4,14,216833.0,1
3560,3561,10,5,84917.0,1,19.99,19.99,19.99,1,19.99,19.99,19.99,5,1,2,2500,538,347,67,58,2,10,3,5,1,0,84917.0,1
3564,3565,10,5,15229997.0,8,5.99,449.99,981.95,5,5.99,449.99,510.97,5,1,2,4500,473,59,125,54,2,10,19,33,1,3,1903749.625,1
3565,3566,10,5,17869028.0,8,10.99,89.99,302.92,3,10.99,89.99,130.97,5,1,2,5000,543,17,38,45,1,11,7,17,1,5,2233628.5,1
3581,3582,11,5,1315615.0,6,24.99,189.99,239.97,1,24.99,24.99,24.99,5,1,2,2500,489,210,10,43,2,39,4,8,2,5,219269.16666666666,1
3613,3614,11,5,122.73,2,34.99,34.99,69.98,1,34.99,34.99,34.99,5,1,2,2500,449,119,29,48,2,13,3,5,2,1,61.365,1
3618,3619,11,5,1443741.0,23,8.39,29.99,378.57,5,12.99,29.99,90.95,5,1,2,1100,469,20,34,62,2,21,14,27,3,18,62771.34782608696,1
3620,3621,11,5,703282.0,18,7.99,19.99,266.85,5,13.0,19.99,72.97,2,1,2,600,557,142,4,34,2,99,0,21,2,13,39071.22222222222,0
3626,3627,11,5,585169.0,9,5.0,99.99,205.42,7,9.99,99.99,192.93,5,1,2,8500,614,213,10,38,2,12,4,19,1,2,65018.77777777778,1
3634,3635,11,5,718876.0,18,49.95,79.95,944.34,1,69.95,69.95,69.95,5,1,2,2400,501,104,1,33,2,36,3,6,1,17,39937.555555555555,1
3643,3644,11,5,288151.0,3,3.95,3.95,7.9,1,3.95,3.95,3.95,1,1,2,600,70,204,1,53,2,364,0,5,1,2,96050.33333333333,0
3660,3661,11,5,347285.0,3,17.99,29.99,77.97,3,17.99,29.99,77.97,5,1,2,4000,545,374,7,44,2,34,6,13,1,0,115761.66666666667,1
3683,3684,11,5,1807423.0,15,7.0,34.99,260.36,1,19.99,19.99,19.99,1,1,-1,2700,503,256,25,62,2,22,8,20,1,14,120494.86666666667,0
3685,3686,11,5,1075521.0,12,14.99,29.4,256.02,6,14.99,29.4,128.01,5,1,2,3000,543,355,13,57,2,50,13,20,4,6,89626.75,1
3697,3698,11,5,331987.0,6,54.95,99.95,474.78,1,99.95,99.95,99.95,5,1,2,3100,467,223,13,44,1,10,3,4,3,5,55331.166666666664,1
3698,3699,11,5,294902.0,2,29.99,29.99,59.98,1,29.99,29.99,29.99,4,1,2,600,565,68,5,36,2,15,4,8,4,1,147451.0,0
3713,3714,11,5,266674.0,3,249.99,279.99,809.97,1,279.99,279.99,279.99,5,1,2,300,422,12,13,21,2,18,3,5,1,2,88891.33333333333,1
3718,3719,11,5,138096.0,1,9.99,9.99,9.99,1,9.99,9.99,9.99,1,1,2,300,476,67,10,46,1,264,1,7,1,0,138096.0,0
3720,3721,11,5,1309135.0,44,14.99,39.99,690.7,4,17.99,19.99,77.96,1,1,2,3000,528,442,3,60,2,43,0,8,1,40,29753.06818181818,0
3731,3732,11,5,360973.0,8,7.0,7.99,60.95,1,7.99,7.99,7.99,1,1,-1,4000,586,91,2,40,2,128,0,4,1,7,45121.625,0
3735,3736,11,5,3315572.0,3,199.0,199.0,398.0,1,199.0,199.0,199.0,1,1,2,600,70,14,0,38,1,37,10,17,4,2,1105190.6666666667,0
3736,3737,11,5,291653.0,3,32.99,44.99,122.97,1,44.99,44.99,44.99,5,1,2,2500,570,412,14,62,2,25,3,8,2,2,97217.66666666667,1
3739,3740,11,5,2134535.0,38,0.0,20.0,257.81,2,0.0,8.99,8.99,1,1,2,300,568,2,1,31,2,68,0,4,1,36,56171.97368421053,0
3743,3744,11,5,1336817.0,30,9.99,89.99,897.77,1,15.0,15.0,15.0,2,1,2,500,556,322,4,60,2,37,0,2,2,29,44560.566666666666,0
3747,3748,11,5,606926.0,3,69.99,69.99,209.97,1,69.99,69.99,69.99,5,1,2,1800,534,203,17,60,2,73,4,8,1,2,202308.66666666666,1
3753,3754,11,5,1235229.0,2,15.0,15.0,30.0,1,15.0,15.0,15.0,1,1,2,300,468,1,1,28,2,64,0,9,1,1,617614.5,0
3755,3756,11,5,54225.0,1,319.99,319.99,319.99,1,319.99,319.99,319.99,3,1,2,300,383,0,0,51,2,24,1,3,2,0,54225.0,0
3758,3759,11,5,1448264.0,13,44.0,54.95,368.74,1,54.95,54.95,54.95,5,1,2,28000,548,152,152,62,2,10,3,4,3,12,111404.92307692308,1
3778,3779,11,5,1951236.0,42,1.0,12.99,152.97,7,1.0,9.99,29.99,1,1,2,2700,475,209,4,43,2,41,0,14,1,35,46458.0,0
3786,3787,11,5,2577882.0,93,9.99,29.95,735.77,1,22.95,22.95,22.95,1,1,2,1100,510,133,13,43,2,130,0,2,1,92,27719.16129032258,0
3802,3803,11,5,4609379.0,48,3.0,39.99,258.1,7,3.0,39.99,88.77,5,1,2,5000,495,162,14,37,2,17,27,44,4,41,96028.72916666667,1
3818,3819,11,5,226558.0,2,5.99,5.99,11.98,1,5.99,5.99,5.99,5,1,2,1300,573,46,25,35,1,22,3,5,1,1,113279.0,1
3827,3828,11,5,28391.0,3,34.99,34.99,104.97,1,34.99,34.99,34.99,1,1,2,1000,552,25,1,42,2,22,0,2,1,2,9463.666666666666,0
3829,3830,11,5,6608686.0,146,4.99,64.99,2982.99,1,29.99,29.99,29.99,1,1,-1,600,70,86,0,36,1,40,3,9,4,145,45264.97260273973,0
3830,3831,11,5,5025404.0,42,29.99,149.95,3479.52,1,49.95,49.95,49.95,5,1,2,2500,465,115,24,57,2,13,3,6,1,41,119652.47619047618,1
3831,3832,11,5,1312644.0,14,15.0,699.0,2510.95,3,15.0,699.0,873.99,1,1,2,300,505,84,9,47,2,25,0,7,1,11,93760.28571428571,0
3837,3838,11,5,2042199.0,18,199.99,799.99,7699.82,3,299.99,799.99,1899.97,5,1,2,3200,509,389,12,53,1,78,5,23,2,15,113455.5,1
3848,3849,11,5,320097.0,10,10.0,34.99,144.98,1,15.0,15.0,15.0,1,1,2,300,491,240,1,39,2,28,0,2,1,9,32009.7,0
3850,3851,11,5,143565.0,11,6.99,11.99,96.89,1,11.99,11.99,11.99,1,1,-1,18000,507,35,118,32,1,10,0,3,1,10,13051.363636363636,0
3853,3854,11,5,2332687.0,8,19.99,89.99,449.92,3,19.99,89.99,179.97,1,1,-1,300,566,257,8,49,2,170,9,20,1,5,291585.875,0
3862,3863,11,5,414932.0,6,29.99,29.99,59.98,1,29.99,29.99,29.99,5,1,2,2900,80,297,0,48,2,51,3,6,2,5,69155.33333333333,1
3866,3867,11,5,2337214.0,79,7.0,52.0,1639.64,5,18.99,19.99,98.95,1,1,2,1700,492,193,10,43,2,23,0,11,1,74,29584.98734177215,0
3868,3869,11,5,117072.0,3,199.99,199.99,399.98,1,199.99,199.99,199.99,1,1,2,600,552,90,0,23,1,92,0,2,1,2,39024.0,0
3887,3888,11,5,101711.0,2,69.99,69.99,139.98,1,69.99,69.99,69.99,5,1,2,2700,495,44,10,66,1,16,3,4,3,1,50855.5,1
3903,3904,11,5,144874.0,4,59.99,59.99,119.98,1,59.99,59.99,59.99,1,1,2,600,466,277,2,43,2,336,0,2,1,3,36218.5,0
3907,3908,11,5,3685713.0,14,49.99,1049.99,5549.91,3,49.99,849.99,1299.97,5,1,2,200,430,66,2,24,1,60,4,11,2,11,263265.21428571426,1
3916,3917,11,5,5664681.0,20,14.99,59.99,367.81,1,39.95,39.95,39.95,5,1,2,3000,504,248,27,39,2,14,3,6,1,19,283234.05,1
3918,3919,11,5,17032112.0,40,3.0,649.99,5113.72,10,3.0,649.99,993.93,5,1,2,10000,504,22,419,40,1,10,18,37,3,30,425802.8,1
3919,3920,11,5,493425.0,5,5.0,9.99,39.97,1,5.0,5.0,5.0,5,1,2,1500,553,157,21,38,2,35,4,7,3,4,98685.0,1
3930,3931,11,5,822.5,14,12.99,69.95,625.46,4,12.99,69.95,182.84,5,1,2,2500,568,310,4,52,2,18,6,19,1,10,58.75,1
3947,3948,11,5,323401.0,7,8.99,11.99,77.93,2,11.99,11.99,23.98,1,1,-1,4000,506,36,3,43,2,23,0,5,1,5,46200.142857142855,0
3953,3954,11,5,106366.0,3,222.0,269.99,761.98,1,269.99,269.99,269.99,1,1,2,300,502,145,5,32,2,16,0,2,1,2,35455.333333333336,0
3962,3963,11,5,78402.0,7,19.99,19.99,99.95,2,19.99,19.99,39.98,1,1,6,4000,603,60,5,39,2,24,0,4,1,5,11200.285714285714,0
3975,3976,11,5,742266.0,12,59.99,59.99,119.98,1,59.99,59.99,59.99,4,1,2,2900,596,359,10,65,1,13,2,5,4,11,61855.5,0
3979,3980,11,5,5254309.0,25,9.0,1399.0,2278.79,1,14.99,14.99,14.99,2,1,2,2800,440,187,10,62,2,177,0,3,2,24,210172.36,0
3982,3983,11,5,26359.0,2,62.99,62.99,125.98,1,62.99,62.99,62.99,1,1,-1,300,70,84,3,68,1,302,0,3,1,1,13179.5,0
3987,3988,11,5,1267363.0,32,9.99,42.99,429.73,5,9.99,12.99,55.95,1,1,2,4000,535,84,10,49,1,30,0,12,1,27,39605.09375,0
3989,3990,11,5,683524.0,9,799.0,799.0,2397.0,1,799.0,799.0,799.0,1,1,2,5000,524,334,13,51,2,28,1,4,1,8,75947.11111111111,0
3990,3991,11,5,743469.0,5,3.99,19.99,51.95,3,3.99,19.99,27.97,4,1,2,4000,613,190,51,69,2,11,9,14,4,2,148693.8,0
4005,4006,11,5,596.96,19,5.99,14.99,126.94,2,10.0,10.0,20.0,1,1,2,2500,541,220,5,50,1,49,1,9,1,17,31.418947368421055,0
4009,4010,11,5,1336357.0,21,199.99,469.99,4769.81,1,249.99,249.99,249.99,5,1,2,2900,509,184,12,59,1,12,7,9,4,20,63636.04761904762,0
4010,4011,11,5,1672008.0,25,15.99,34.99,555.81,2,19.99,34.99,54.98,5,1,2,1200,449,69,7,38,2,53,4,10,1,23,66880.32,1
4015,4016,11,5,339249.0,2,419.99,419.99,839.98,1,419.99,419.99,419.99,5,1,2,2900,465,207,33,34,2,18,4,7,4,1,169624.5,1
4022,4023,11,5,101755.0,3,49.95,49.95,149.85,1,49.95,49.95,49.95,5,1,2,3400,559,66,20,75,2,10,3,5,2,2,33918.333333333336,1
4028,4029,11,5,1393993.0,24,9.99,599.99,1306.77,5,19.99,74.99,227.95,1,1,-1,4000,534,230,9,56,2,38,0,13,1,19,58083.041666666664,0
4031,4032,11,5,1926435.0,5,159.99,599.99,1579.95,1,159.99,159.99,159.99,1,1,-1,300,571,3,2,50,1,50,0,5,1,4,385287.0,0
4032,4033,11,5,194645.0,5,999.99,999.99,4999.95,1,999.99,999.99,999.99,1,1,2,1400,536,70,13,23,1,14,0,5,1,4,38929.0,0
4044,4045,11,5,10692159.0,32,12.0,34.9,664.04,3,16.99,24.9,61.88,5,1,2,8500,567,331,10,48,2,130,3,14,1,29,334129.96875,1
4045,4046,11,5,840768.0,5,3.99,3.99,19.95,2,3.99,3.99,7.98,5,1,2,3400,541,175,177,58,2,10,7,11,3,3,168153.6,1
4048,4049,11,5,140971.0,3,899.0,899.0,1798.0,1,899.0,899.0,899.0,3,1,2,1800,478,118,10,41,1,15,2,3,3,2,46990.333333333336,0
4051,4052,11,5,676765.0,4,14.99,49.99,164.96,1,49.99,49.99,49.99,5,1,2,3000,524,423,10,59,2,21,3,7,2,3,169191.25,1
4052,4053,11,5,1234073.0,4,29.99,37.99,135.96,1,37.99,37.99,37.99,5,1,2,4000,567,384,16,69,2,14,11,15,3,3,308518.25,1
4053,4054,11,5,68583.0,1,19.99,19.99,19.99,1,19.99,19.99,19.99,5,1,2,5000,503,37,13,40,1,14,4,7,4,0,68583.0,1
4058,4059,11,5,752905.0,8,19.99,49.99,319.92,3,24.99,49.99,124.97,1,1,2,1000,503,481,6,68,1,26,6,11,3,5,94113.125,0
4065,4066,11,5,1613272.0,52,9.99,111.99,708.28,1,24.99,24.99,24.99,1,1,2,8500,535,220,23,52,1,12,1,3,1,51,31024.46153846154,0
4066,4067,11,5,374576.0,8,29.99,29.99,89.97,1,29.99,29.99,29.99,1,1,2,1100,472,135,10,34,2,42,0,2,1,7,46822.0,0
4086,4087,11,5,179674.0,6,7.99,7.99,15.98,1,7.99,7.99,7.99,1,1,-1,1800,512,69,19,33,2,18,0,4,1,5,29945.666666666668,0
4094,4095,11,5,10731.0,2,379.99,379.99,759.98,1,379.99,379.99,379.99,1,1,1,2600,526,38,13,25,2,63,0,2,1,1,5365.5,0
4098,4099,11,5,1181122.0,12,89.95,775.0,4562.95,3,299.0,775.0,1849.0,1,1,-1,4000,558,368,3,62,2,10,0,19,2,9,98426.83333333333,0
4107,4108,11,5,9218662.0,36,7.99,34.99,420.41,1,25.2,25.2,25.2,5,1,2,2500,490,146,21,46,2,17,13,17,4,35,256073.94444444444,1
4135,4136,11,5,2884166.0,48,299.99,1999.99,37979.52,3,649.99,649.99,1949.97,1,1,-1,600,543,69,1,49,1,207,0,35,1,45,60086.791666666664,0
4138,4139,11,5,286245.0,7,3.5,7.99,34.41,2,4.99,7.99,12.98,1,1,-1,300,559,4,1,22,1,150,0,5,1,5,40892.142857142855,0
4161,4162,11,5,66.52,3,399.99,399.99,1199.97,1,399.99,399.99,399.99,2,1,2,4000,525,256,8,60,1,28,0,2,2,2,22.173333333333332,0
4167,4168,11,5,382783.0,7,69.99,79.99,534.93,2,74.99,79.99,154.98,1,1,2,800,70,16,5,53,2,403,0,5,1,5,54683.28571428572,0
4170,4171,11,5,1665046.0,51,0.0,34.99,625.53,18,0.0,15.99,162.85,5,1,2,10500,546,414,137,56,2,12,25,65,1,33,32647.960784313724,1
4174,4175,11,5,2757922.0,47,6.99,1399.99,5000.65,2,8.99,19.99,28.98,1,1,2,600,529,20,1,48,2,71,0,5,1,45,58679.1914893617,0
4175,4176,11,5,5440204.0,58,3.99,42.99,1168.39,2,29.99,34.99,64.98,5,1,2,600,450,67,14,38,2,81,3,9,2,56,93796.62068965517,1
4183,4184,11,5,211139.0,6,9.99,12.99,68.94,2,9.99,12.99,22.98,5,1,2,500,404,86,26,40,2,15,4,8,4,4,35189.833333333336,1
4189,4190,11,5,2739593.0,23,279.99,399.99,7999.77,7,279.99,399.99,2479.93,5,1,2,2000,468,220,9,54,2,90,3,22,1,16,119112.73913043478,1
4191,4192,11,5,487059.0,10,7.99,19.99,144.76,1,14.99,14.99,14.99,5,1,2,5000,517,153,14,36,2,68,5,7,4,9,48705.9,1
4195,4196,11,5,84289.0,3,299.99,399.99,1099.97,1,399.99,399.99,399.99,1,1,2,300,567,2,1,25,1,14,0,2,1,2,28096.333333333332,0
4205,4206,11,5,401365.0,16,79.99,79.99,1279.84,1,79.99,79.99,79.99,2,1,2,500,573,5,2,37,2,14,0,2,2,15,25085.3125,0
4212,4213,11,5,1191381.0,6,1299.99,1299.99,5199.96,1,1299.99,1299.99,1299.99,5,1,2,300,474,209,12,41,1,89,3,9,2,5,198563.5,0
4222,4223,11,5,246888.0,7,21.0,29.99,110.97,1,29.99,29.99,29.99,2,1,2,7000,521,40,51,50,2,10,0,2,2,6,35269.71428571428,0
4240,4241,11,5,2100186.0,33,4.99,79.99,547.71,4,4.99,24.99,59.96,1,1,2,1700,548,215,25,46,2,129,4,29,1,29,63642.0,0
4242,4243,11,5,2368019.0,18,299.99,399.99,4229.87,1,299.99,299.99,299.99,1,1,1,10000,518,77,91,44,2,10,0,5,1,17,131556.61111111112,0
4243,4244,11,5,1306185.0,7,14.9,14.9,44.7,1,14.9,14.9,14.9,5,1,2,12000,521,34,109,66,1,10,6,12,2,6,186597.85714285713,1
4245,4246,11,5,120.81,1,11.99,11.99,11.99,1,11.99,11.99,11.99,1,1,-1,4500,571,304,3,77,2,84,0,3,1,0,120.81,0
4252,4253,11,5,447468.0,9,49.95,49.99,299.82,1,49.95,49.95,49.95,4,1,2,800,409,1,0,37,2,31,7,12,4,8,49718.666666666664,0
4256,4257,11,5,117524.0,1,24.99,24.99,24.99,1,24.99,24.99,24.99,5,1,2,3000,562,209,30,59,1,24,4,7,1,0,117524.0,1
4257,4258,11,5,34902.0,1,169.99,169.99,169.99,1,169.99,169.99,169.99,5,1,2,13000,520,272,47,47,2,10,3,5,1,0,34902.0,1
4263,4264,11,5,6464701.0,46,12.99,249.99,2071.54,3,19.99,159.99,202.97,5,1,2,1500,583,53,20,67,1,75,5,13,1,43,140536.97826086957,1
4293,4294,11,5,405769.0,6,59.99,99.99,479.94,2,59.99,99.99,159.98,5,1,2,4000,550,413,10,67,2,23,5,9,3,4,67628.16666666667,1
4295,4296,11,5,2550638.0,9,1.0,30.0,171.98,3,1.0,29.99,50.99,4,1,2,300,506,222,1,55,2,10,10,15,4,6,283404.22222222225,0
4296,4297,11,5,135241.0,2,19.99,19.99,39.98,1,19.99,19.99,19.99,1,1,2,600,597,10,3,45,2,27,4,9,4,1,67620.5,0
4297,4298,11,5,1116142.0,7,9.99,9.99,69.93,2,9.99,9.99,19.98,1,1,2,4000,577,81,7,65,1,80,4,8,1,5,159448.85714285713,1
4304,4305,11,5,803782.0,5,329.0,329.0,1645.0,3,329.0,329.0,987.0,5,1,2,4300,558,257,11,49,2,13,3,13,1,2,160756.4,1
4305,4306,11,5,740693.0,4,39.99,79.99,239.96,2,39.99,79.99,119.98,5,1,2,2500,537,362,3,63,1,12,7,15,1,2,185173.25,1
4315,4316,11,5,629272.0,7,199.99,269.99,1661.94,1,269.99,269.99,269.99,2,1,2,1000,514,47,11,37,1,40,0,5,2,6,89896.0,0
4340,4341,11,5,181.27,3,49.99,49.99,149.97,1,49.99,49.99,49.99,5,1,2,4900,568,262,14,56,2,11,3,4,3,2,60.42333333333334,1
4348,4349,11,5,1181335.0,43,10.0,38.64,589.12,2,20.0,38.64,58.64,1,1,-1,800,508,84,10,37,2,22,0,4,1,41,27472.906976744187,0
4360,4361,11,5,2238424.0,16,3.99,199.99,1145.84,7,3.99,199.99,462.93,1,1,2,4000,613,190,51,69,2,11,16,30,1,9,139901.5,1
4366,4367,11,5,1061483.0,17,5.99,29.99,185.83,1,8.99,8.99,8.99,1,1,2,4000,562,50,2,57,2,254,0,2,1,16,62440.17647058824,0
4371,4372,11,5,423209.0,3,333.0,349.99,1032.98,1,349.99,349.99,349.99,5,1,2,1200,503,96,14,37,2,226,6,12,1,2,141069.66666666666,1
4384,4385,11,5,67.87,2,9.99,9.99,19.98,1,9.99,9.99,9.99,1,1,2,800,568,45,10,47,2,61,0,2,1,1,33.935,0
4388,4389,11,5,837177.0,1,199.99,199.99,199.99,1,199.99,199.99,199.99,5,1,2,7500,520,106,33,50,2,10,7,10,3,0,837177.0,1
4390,4391,11,5,10300839.0,31,9.99,379.99,2103.74,1,19.99,19.99,19.99,1,1,2,600,597,55,0,38,1,44,0,3,1,30,332285.12903225806,0
4395,4396,11,5,120312.0,1,39.99,39.99,39.99,1,39.99,39.99,39.99,5,1,2,1500,525,203,14,55,2,26,3,6,1,0,120312.0,1
4416,4417,11,5,1773292.0,54,9.99,109.99,1279.73,9,9.99,109.99,236.76,1,1,2,3000,508,202,54,58,2,12,3,24,1,45,32838.74074074074,1
4421,4422,11,5,725396.0,6,19.99,29.99,159.94,2,29.99,29.99,59.98,5,1,2,2000,543,342,7,54,2,20,20,29,4,4,120899.33333333333,1
4425,4426,11,5,1248918.0,13,17.99,39.99,343.87,2,17.99,39.99,57.98,1,1,-1,600,70,134,0,61,2,574,0,24,2,11,96070.61538461539,0
4429,4430,11,5,1091.59,1,39.99,39.99,39.99,1,39.99,39.99,39.99,5,1,2,3700,524,52,14,47,1,22,15,18,4,0,1091.59,1
4440,4441,11,5,317903.0,11,9.99,49.99,244.79,2,9.99,39.95,49.94,2,1,2,3000,524,340,18,56,2,31,0,5,1,9,28900.272727272728,0
4443,4444,11,5,4365143.0,93,4.99,44.99,1409.12,5,7.99,32.99,70.95,1,1,-1,2300,524,37,23,38,2,88,0,11,1,88,46937.021505376346,0
4453,4454,11,5,3475514.0,84,1.0,21.0,575.93,7,1.0,19.99,64.99,5,1,2,2500,529,76,13,55,1,15,3,33,2,77,41375.166666666664,1
4460,4461,11,5,10801114.0,44,9.95,949.0,8702.55,3,39.99,59.99,139.97,5,1,2,4000,547,76,13,50,2,59,5,12,1,41,245479.86363636365,1
4462,4463,11,5,551662.0,21,139.99,699.99,8639.82,6,139.99,699.99,3079.94,1,1,-1,300,228,21,0,22,2,171,6,29,1,15,26269.619047619046,0
4471,4472,11,5,7842236.0,9,19.99,39.99,79.97,1,39.99,39.99,39.99,1,1,2,3000,497,350,5,58,1,55,0,4,2,8,871359.5555555555,0
4473,4474,11,5,161587.0,1,19.99,19.99,19.99,1,19.99,19.99,19.99,1,1,-1,300,583,1,2,49,2,28,0,3,1,0,161587.0,0
4474,4475,11,5,3931734.0,23,9.99,79.82,531.46,7,9.99,79.82,215.76,5,1,2,3000,445,44,9,29,2,43,19,41,1,16,170944.95652173914,1
4477,4478,11,5,590519.0,14,7.99,12.99,141.88,1,12.99,12.99,12.99,5,1,2,300,466,73,11,24,2,16,3,7,1,13,42179.92857142857,1
4478,4479,11,5,23625.0,3,39.99,39.99,119.97,1,39.99,39.99,39.99,2,1,2,7500,544,216,23,38,2,11,0,2,2,2,7875.0,0
4487,4488,11,5,325.26,4,59.99,59.99,119.98,1,59.99,59.99,59.99,1,1,2,200,438,169,10,44,1,74,1,6,1,3,81.315,0
4501,4502,11,5,9737834.0,16,19.99,24.99,84.96,1,19.99,19.99,19.99,2,1,2,2900,502,121,9,74,1,22,0,6,2,15,608614.625,0
4505,4506,11,5,68408.0,3,89.99,99.99,279.97,1,89.99,89.99,89.99,1,1,2,600,80,39,0,40,2,14,0,3,1,2,22802.666666666668,0
